Precinct,Political Party,Count of Voters by Party
5307,,
,DEMOCRATIC,154
,NO PARTY,3
,LIBERTARIAN,1
,NO AFFILIATION,11
,REPUBLICAN,18
,UNKNOWN,1
,Count of Voters in 5307:,188
5308,,
,REPUBLICAN,19
,NO AFFILIATION,2
,INDEPENDENT,1
,DEMOCRATIC,99
,Count of Voters in 5308:,121
5309,,
,INDEPENDENCE,1
,REPUBLICAN,10
,NO AFFILIATION,7
,DEMOCRATIC,105
,OTHER,1
,Count of Voters in 5309:,124
5310,,
,DEMOCRATIC,106
,NO AFFILIATION,8
,REPUBLICAN,11
,Count of Voters in 5310:,125
5311,,
,INDEPENDENT,1
,REPUBLICAN,17
,DEMOCRATIC,124
5311,,
,LIBERTARIAN,2
,NO AFFILIATION,5
,Count of Voters in 5311:,149
5312,,
,INDEPENDENT,1
,REPUBLICAN,45
,DEMOCRATIC,184
,LIBERTARIAN,1
,NO AFFILIATION,20
,Count of Voters in 5312:,251
5313,,
,DEMOCRATIC,161
,TEA PARTY,1
,NO AFFILIATION,5
,REPUBLICAN,19
,Count of Voters in 5313:,186
5314,,
,INDEPENDENT,1
,REPUBLICAN,23
,DEMOCRATIC,144
,NO AFFILIATION,7
,Count of Voters in 5314:,175
5315,,
,DEMOCRATIC,168
,NO AFFILIATION,9
,LIBERTARIAN,2
,INDEPENDENT,3
,REPUBLICAN,51
,LIBERAL,1
,Count of Voters in 5315:,234
5316,,
,NO AFFILIATION,13
,REPUBLICAN,31
,NO PARTY,1
,DEMOCRATIC,141
,INDEPENDENT,1
,Count of Voters in 5316:,187
5317,,
,NON-PARTISAN,1
,OTHER,1
,GREEN,1
,DEMOCRATIC,113
,LIBERTARIAN,2
,NO AFFILIATION,7
,INDEPENDENT,1
,REPUBLICAN,28
,NO PARTY,1
,Count of Voters in 5317:,155
5318,,
,NO PARTY,1
,INDEPENDENT,3
,REPUBLICAN,33
,DEMOCRATIC,158
,NO AFFILIATION,10
,LIBERTARIAN,2
,Count of Voters in 5318:,207
5319,,
,INDEPENDENT,1
,REPUBLICAN,28
,DEMOCRATIC,181
,NO PARTY,1
,NO AFFILIATION,6
,Count of Voters in 5319:,217
5320,,
,DEMOCRATIC,166
,UNKNOWN,1
,INDEPENDENT,3
,REPUBLICAN,66
,UNDECIDED,1
,NO AFFILIATION,12
,Count of Voters in 5320:,249
5321,,
,INDEPENDENT,2
,REPUBLICAN,116
,NO AFFILIATION,11
5321,,
,NON-PARTISAN,1
,LIBERTARIAN,1
,DEMOCRATIC,169
,Count of Voters in 5321:,300
5322,,
,NO AFFILIATION,4
,REPUBLICAN,32
,NO PARTY,1
,DEMOCRATIC,157
,Count of Voters in 5322:,194
5323,,
,REPUBLICAN,9
,NO AFFILIATION,4
,NO PARTY,1
,DEMOCRATIC,90
,Count of Voters in 5323:,104
5401,,
,DEMOCRATIC,130
,INDEPENDENT,1
,OTHER,1
,NO AFFILIATION,7
,REPUBLICAN,11
,Count of Voters in 5401:,150
5402,,
,NO AFFILIATION,6
,INDEPENDENT,1
,REPUBLICAN,7
,DEMOCRATIC,169
,Count of Voters in 5402:,183
5403,,
,DEMOCRATIC,116
,CONSTITUTIONAL,1
,INDEPENDENT,2
,NO AFFILIATION,8
,REPUBLICAN,4
,Count of Voters in 5403:,131
5404,,
,UNKNOWN,1
,INDEPENDENCE,1
,NO PARTY,1
,NO AFFILIATION,12
,DEMOCRATIC,146
,REPUBLICAN,3
,Count of Voters in 5404:,164
5405,,
,GREEN,2
,INDEPENDENT,2
,NONE,1
,DEMOCRATIC,110
,NO AFFILIATION,6
,REPUBLICAN,17
,Count of Voters in 5405:,138
5406,,
,INDEPENDENT,1
,REPUBLICAN,9
,NO AFFILIATION,6
,DEMOCRATIC,111
,Count of Voters in 5406:,127
5407,,
,DEMOCRATIC,113
,NO AFFILIATION,11
,REPUBLICAN,17
,Count of Voters in 5407:,141
5408,,
,LIBERTARIAN,1
,NONE,1
,INDEPENDENT,1
,NO AFFILIATION,10
,DEMOCRATIC,112
,REPUBLICAN,15
,Count of Voters in 5408:,140
5409,,
,NO AFFILIATION,8
,REPUBLICAN,21
5409,,
,NO PARTY,2
,DEMOCRATIC,135
,Count of Voters in 5409:,166
5410,,
,INDEPENDENT,1
,NO AFFILIATION,5
,DEMOCRATIC,95
,REPUBLICAN,26
,Count of Voters in 5410:,127
5411,,
,NO AFFILIATION,3
,REPUBLICAN,7
,DEMOCRATIC,98
,OTHER,1
,Count of Voters in 5411:,109
5412,,
,REPUBLICAN,11
,DEMOCRATIC,102
,NO AFFILIATION,7
,Count of Voters in 5412:,120
5413,,
,DEMOCRATIC,103
,NO AFFILIATION,6
,REPUBLICAN,18
,UNKNOWN,1
,Count of Voters in 5413:,128
5414,,
,NO AFFILIATION,4
,REPUBLICAN,3
,DEMOCRATIC,76
,Count of Voters in 5414:,83
5415,,
,NO AFFILIATION,8
,REPUBLICAN,15
,NO PARTY,2
,DEMOCRATIC,73
,Count of Voters in 5415:,98
5416,,
,NO PARTY,1
,DEMOCRATIC,82
,REPUBLICAN,13
,UNKNOWN,2
,INDEPENDENT,1
,NO AFFILIATION,4
,Count of Voters in 5416:,103
5417,,
,NO AFFILIATION,10
,DEMOCRATIC,114
,LIBERTARIAN,1
,REPUBLICAN,7
,Count of Voters in 5417:,132
5418,,
,NO PARTY,1
,NON-PARTISAN,1
,INDEPENDENT,1
,REPUBLICAN,16
,DEMOCRATIC,124
,NO AFFILIATION,4
,Count of Voters in 5418:,147
5419,,
,REPUBLICAN,9
,UNKNOWN,1
,DEMOCRATIC,102
,NO AFFILIATION,7
,Count of Voters in 5419:,119
5420,,
,DEMOCRATIC,104
,INDEPENDENT,2
,OTHER,1
,REPUBLICAN,12
,NO AFFILIATION,10
,Count of Voters in 5420:,129
5421,,
,GREEN,1
,INDEPENDENT,1
5421,,
,DEMOCRATIC,111
,REPUBLICAN,15
,NO AFFILIATION,5
,Count of Voters in 5421:,133
5422,,
,INDEPENDENT,1
,REPUBLICAN,16
,NO AFFILIATION,5
,DEMOCRATIC,84
,LIBERTARIAN,1
,NO PARTY,1
,Count of Voters in 5422:,108
5501,,
,NO AFFILIATION,3
,DEMOCRATIC,137
,LIBERTARIAN,1
,REPUBLICAN,48
,Count of Voters in 5501:,189
5502,,
,REPUBLICAN,46
,DEMOCRATIC,150
,INDEPENDENT DEMOCRAT,1
,LIBERTARIAN,1
,NO AFFILIATION,8
,NON-PARTISAN,1
,PROGRESSIVE,1
,Count of Voters in 5502:,208
5503,,
,DEMOCRATIC,116
,NO AFFILIATION,10
,REPUBLICAN,34
,NOT SURE,1
,Count of Voters in 5503:,161
5504,,
,DEMOCRATIC,162
,INDEPENDENT,6
,REPUBLICAN,27
5504,,
,NO PARTY,2
,NO AFFILIATION,4
,Count of Voters in 5504:,201
5505,,
,DEMOCRATIC,156
,LIBERTARIAN,1
,NO AFFILIATION,12
,REPUBLICAN,28
,UNKNOWN,1
,INDEPENDENT,1
,Count of Voters in 5505:,199
5506,,
,INDEPENDENCE,1
,INDEPENDENT,1
,NO AFFILIATION,4
,DEMOCRATIC,119
,LIBERTARIAN,1
,REPUBLICAN,56
,Count of Voters in 5506:,182
5507,,
,INDEPENDENT,1
,NO PARTY,1
,NON-PARTISAN,1
,NO AFFILIATION,13
,REPUBLICAN,39
,DEMOCRATIC,208
,Count of Voters in 5507:,263
5508,,
,REPUBLICAN,60
,DEMOCRATIC,118
,INDEPENDENT,2
,NO AFFILIATION,12
,Count of Voters in 5508:,192
5509,,
,CONSTITUTIONAL,1
,INDEPENDENT,1
,NO AFFILIATION,7
5509,,
,REPUBLICAN,32
,DEMOCRATIC,102
,NO PARTY,1
,Count of Voters in 5509:,144
5510,,
,REPUBLICAN,25
,NO AFFILIATION,4
,DEMOCRATIC,100
,LIBERTARIAN,1
,Count of Voters in 5510:,130
5511,,
,NO AFFILIATION,7
,REPUBLICAN,65
,DEMOCRATIC,123
,INDEPENDENT,1
,OTHER,1
,Count of Voters in 5511:,197
5512,,
,DEMOCRATIC,112
,NO AFFILIATION,6
,INDEPENDENT,1
,REPUBLICAN,94
,Count of Voters in 5512:,213
5513,,
,OTHER,1
,DEMOCRATIC,122
,INDEPENDENT,1
,NO AFFILIATION,2
,REPUBLICAN,65
,Count of Voters in 5513:,191
5514,,
,NO AFFILIATION,4
,DEMOCRATIC,122
,INDEPENDENT,1
,REPUBLICAN,49
,Count of Voters in 5514:,176
5515,,
,INDEPENDENCE,1
,DEMOCRATIC,121
,INDEPENDENT,1
,LIBERTARIAN,2
,REPUBLICAN,50
,NO AFFILIATION,6
,Count of Voters in 5515:,181
5516,,
,NO AFFILIATION,4
,NO PARTY,1
,REPUBLICAN,73
,UNKNOWN,1
,DEMOCRATIC,122
,INDEPENDENT,1
,GREEN,1
,Count of Voters in 5516:,203
5517,,
,REPUBLICAN,56
,NO AFFILIATION,6
,DEMOCRATIC,129
,INDEPENDENT,2
,Count of Voters in 5517:,193
5518,,
,INDEPENDENT,2
,LIBERTARIAN,1
,DEMOCRATIC,110
,NO AFFILIATION,11
,REPUBLICAN,64
,Count of Voters in 5518:,188
5519,,
,REPUBLICAN,83
,NO AFFILIATION,6
,DEMOCRATIC,98
,INDEPENDENT,2
,Count of Voters in 5519:,189
5520,,
,NON-PARTISAN,2
,INDEPENDENT,1
,REPUBLICAN,76
,NO AFFILIATION,5
,DEMOCRATIC,118
,Count of Voters in 5520:,202
5521,,
,GREEN,1
,DEMOCRATIC,139
,NO AFFILIATION,7
,INDEPENDENT,2
,REPUBLICAN,72
,Count of Voters in 5521:,221
5522,,
,INDEPENDENT,1
,REPUBLICAN,66
,DEMOCRATIC,117
,NO AFFILIATION,9
,LIBERTARIAN,1
,Count of Voters in 5522:,194
5523,,
,NO AFFILIATION,12
,REPUBLICAN,30
,INDEPENDENT,1
,DEMOCRATIC,76
,Count of Voters in 5523:,119
5524,,
,DEMOCRATIC,128
,INDEPENDENT,1
,REPUBLICAN,86
,UNKNOWN,1
,NO AFFILIATION,6
,Count of Voters in 5524:,222
5525,,
,NON-PARTISAN,1
,NO AFFILIATION,7
,REPUBLICAN,51
5525,,
,DEMOCRATIC,139
,Count of Voters in 5525:,198
5526,,
,GREEN,1
,DEMOCRATIC,139
,LIBERTARIAN,1
,NO AFFILIATION,9
,REPUBLICAN,39
,Count of Voters in 5526:,189
5527,,
,GREEN,1
,LIBERTARIAN,1
,DEMOCRATIC,101
,INDEPENDENT,1
,NO AFFILIATION,4
,NO PARTY,1
,REPUBLICAN,43
,Count of Voters in 5527:,152
5528,,
,DEMOCRATIC,131
,NO AFFILIATION,4
,REPUBLICAN,52
,Count of Voters in 5528:,187
5529,,
,NO AFFILIATION,6
,REPUBLICAN,58
,INDEPENDENT,2
,DEMOCRATIC,130
,Count of Voters in 5529:,196
5601,,
,INDEPENDENT,1
,REPUBLICAN,35
,NO PARTY,1
,CONSTITUTIONAL,1
,DEMOCRATIC,170
5601,,
,NO AFFILIATION,10
,Count of Voters in 5601:,218
5602,,
,NO AFFILIATION,5
,DEMOCRATIC,117
,NO PARTY,1
,INDEPENDENT,4
,REPUBLICAN,41
,LIBERTARIAN,3
,Count of Voters in 5602:,171
5603,,
,NO AFFILIATION,6
,DEMOCRATIC,94
,LIBERTARIAN,1
,REPUBLICAN,28
,Count of Voters in 5603:,129
5604,,
,DEMOCRATIC,105
,NO AFFILIATION,6
,INDEPENDENT,1
,REPUBLICAN,47
,Count of Voters in 5604:,159
5605,,
,NO AFFILIATION,12
,LIBERTARIAN,1
,DEMOCRATIC,96
,INDEPENDENT,1
,REPUBLICAN,39
,SOCIALIST,1
,Count of Voters in 5605:,150
5606,,
,REPUBLICAN,121
,NO AFFILIATION,9
,DEMOCRATIC,238
,UNKNOWN,1
,Count of Voters in 5606:,369
5607,,
,INDEPENDENCE,1
,NO AFFILIATION,11
,INDEPENDENT,4
,DEMOCRATIC,187
,WHIG,1
,CONSTITUTIONAL,1
,REPUBLICAN,74
,Count of Voters in 5607:,279
5608,,
,REPUBLICAN,104
,DEMOCRATIC,248
,INDEPENDENT,3
,LIBERTARIAN,1
,NO AFFILIATION,17
,Count of Voters in 5608:,373
5609,,
,INDEPENDENT,1
,REPUBLICAN,63
,NO PARTY,1
,INDEPENDENCE,1
,GREEN,1
,NO AFFILIATION,13
,DEMOCRATIC,127
,Count of Voters in 5609:,207
5610,,
,INDEPENDENT,2
,CONSTITUTIONAL,1
,LIBERTARIAN,1
,NO AFFILIATION,12
,DEMOCRATIC,124
,REPUBLICAN,67
,NO PARTY,1
,NON-PARTISAN,1
,Count of Voters in 5610:,209
5611,,
,DEMOCRATIC,91
,MODERATE,1
5611,,
,NO AFFILIATION,8
,INDEPENDENT,1
,REPUBLICAN,36
,Count of Voters in 5611:,137
5612,,
,DEMOCRATIC,143
,REPUBLICAN,48
,NO AFFILIATION,7
,LIBERTARIAN,1
,Count of Voters in 5612:,199
5613,,
,NO AFFILIATION,10
,INDEPENDENT,2
,REPUBLICAN,37
,NO PARTY,1
,DEMOCRATIC,154
,Count of Voters in 5613:,204
5614,,
,DEMOCRATIC,111
,REPUBLICAN,26
,NO AFFILIATION,7
,GREEN,1
,Count of Voters in 5614:,145
5615,,
,NO AFFILIATION,9
,INDEPENDENT,2
,REPUBLICAN,39
,DEMOCRATIC,109
,Count of Voters in 5615:,159
5616,,
,NO AFFILIATION,8
,INDEPENDENT,1
,REPUBLICAN,40
,DEMOCRATIC,119
,Count of Voters in 5616:,168
5617,,
,INDEPENDENT,2
,NO AFFILIATION,8
,CONSERVATIVE,1
,DEMOCRATIC,133
,REPUBLICAN,43
,Count of Voters in 5617:,187
5618,,
,NO AFFILIATION,8
,NO PARTY,1
,REPUBLICAN,44
,DEMOCRATIC,118
,Count of Voters in 5618:,171
5619,,
,NO AFFILIATION,10
,NO PARTY,2
,INDEPENDENT,1
,REPUBLICAN,82
,NONE,1
,DEMOCRATIC,213
,LIBERTARIAN,3
,Count of Voters in 5619:,312
5620,,
,DEMOCRATIC,124
,NO AFFILIATION,5
,REPUBLICAN,14
,LIBERTARIAN,1
,Count of Voters in 5620:,144
5621,,
,DEMOCRATIC,125
,REPUBLICAN,22
,NO AFFILIATION,16
,INDEPENDENT,1
,Count of Voters in 5621:,164
5622,,
,LIBERTARIAN,1
,REPUBLICAN,27
,NO AFFILIATION,13
5622,,
,DEMOCRATIC,192
,Count of Voters in 5622:,233
5623,,
,INDEPENDENT,1
,DEMOCRATIC,161
,REPUBLICAN,53
,NO AFFILIATION,9
,Count of Voters in 5623:,224
5624,,
,INDEPENDENT,1
,NO AFFILIATION,16
,REPUBLICAN,38
,DEMOCRATIC,131
,Count of Voters in 5624:,186
5625,,
,NON-PARTISAN,1
,DEMOCRATIC,204
,REPUBLICAN,25
,NO AFFILIATION,7
,Count of Voters in 5625:,237
5626,,
,UNKNOWN,1
,LIBERTARIAN,1
,NO AFFILIATION,12
,DEMOCRATIC,172
,REPUBLICAN,51
,INDEPENDENT,4
,Count of Voters in 5626:,241
5627,,
,DEMOCRATIC,138
,NO AFFILIATION,9
,INDEPENDENT,1
,REPUBLICAN,31
,Count of Voters in 5627:,179
5628,,
,NO AFFILIATION,12
5628,,
,INDEPENDENT,1
,REPUBLICAN,28
,NO PARTY,1
,DEMOCRATIC,141
,LIBERTARIAN,3
,Count of Voters in 5628:,186
5629,,
,INDEPENDENT,1
,NO PARTY,2
,DEMOCRATIC,180
,REPUBLICAN,54
,NO AFFILIATION,15
,Count of Voters in 5629:,252
5630,,
,UNKNOWN,1
,INDEPENDENT,3
,NO AFFILIATION,27
,NO PARTY,2
,DEMOCRATIC,220
,LIBERTARIAN,1
,REPUBLICAN,62
,Count of Voters in 5630:,316
5631,,
,NO AFFILIATION,15
,DEMOCRATIC,170
,REPUBLICAN,49
,INDEPENDENT,3
,Count of Voters in 5631:,237
5632,,
,DEMOCRATIC,103
,REPUBLICAN,48
,INDEPENDENT,1
,NO AFFILIATION,6
,Count of Voters in 5632:,158
5633,,
,DEMOCRATIC,123
,NON-PARTISAN,1
,NO AFFILIATION,6
,NO PARTY,1
,REPUBLICAN,42
,INDEPENDENT,2
,Count of Voters in 5633:,175
5634,,
,NON-PARTISAN,2
,REPUBLICAN,16
,DEMOCRATIC,127
,LIBERTARIAN,1
,NO AFFILIATION,3
,Count of Voters in 5634:,149
5635,,
,DEMOCRATIC,118
,LIBERTARIAN,1
,NO AFFILIATION,6
,CONSTITUTION,1
,INDEPENDENT,2
,INDEPENDENT REPUBLICAN,1
,REPUBLICAN,25
,Count of Voters in 5635:,154
5636,,
,LIBERTARIAN,1
,REPUBLICAN,23
,CONSUMER'S,1
,INDEPENDENT,3
,NO AFFILIATION,4
,DEMOCRATIC,105
,Count of Voters in 5636:,137
5637,,
,NO AFFILIATION,8
,DEMOCRATIC,119
,REPUBLICAN,39
,NO PARTY,1
,Count of Voters in 5637:,167
5638,REPUBLICAN,45
,INDEPENDENT,2
,NO AFFILIATION,5
,DEMOCRATIC,142
,NON-PARTISAN,1
,Count of Voters in 5638:,195
5639,,
,REPUBLICAN,37
,INDEPENDENT,6
,NO AFFILIATION,17
,DEMOCRATIC,146
,NONE,1
,Count of Voters in 5639:,207
5640,,
,REPUBLICAN,16
,DEMOCRATIC,102
,INDEPENDENT DEMOCRAT,1
,LIBERTARIAN,1
,NO AFFILIATION,1
,Count of Voters in 5640:,121
5641,,
,DEMOCRATIC,231
,INDEPENDENCE,1
,INDEPENDENT,3
,REPUBLICAN,36
,NO AFFILIATION,29
,NO PARTY,1
,Count of Voters in 5641:,301
5701,,
,REPUBLICAN,94
,INDEPENDENT,2
,DEMOCRATIC,154
,LIBERTARIAN,2
,NO AFFILIATION,13
,Count of Voters in 5701:,265
5702,,
,DEMOCRATIC,210
,INDEPENDENT,4
,NO AFFILIATION,9
,LIBERTARIAN,2
,REPUBLICAN,85
,Count of Voters in 5702:,310
5703,,
,INDEPENDENT,3
,NO AFFILIATION,11
,DEMOCRATIC,151
,OTHER,1
,LIBERTARIAN,2
,REPUBLICAN,96
,NO PARTY,1
,Count of Voters in 5703:,265
5704,,
,LIBERTARIAN,1
,REPUBLICAN,52
,DEMOCRATIC,149
,INDEPENDENT,1
,GREEN,1
,Count of Voters in 5704:,204
5705,,
,INDEPENDENT,5
,NO AFFILIATION,5
,OTHER,1
,DEMOCRATIC,124
,REPUBLICAN,40
,Count of Voters in 5705:,175
5706,,
,DEMOCRATIC,294
,NO AFFILIATION,14
,CONSTITUTIONAL,1
,GREEN,2
,NON-PARTISAN,1
,INDEPENDENT,2
,REPUBLICAN,38
,NO PARTY,1
,Count of Voters in 5706:,353
5707,,
,UNKNOWN,1
,NO AFFILIATION,22
,LIBERTARIAN,2
,REPUBLICAN,23
,DEMOCRATIC,156
,NON-PARTISAN,2
,Count of Voters in 5707:,206
5708,,
,NO PARTY,1
,DEMOCRATIC,200
,NO AFFILIATION,16
,INDEPENDENT,2
,REPUBLICAN,65
,Count of Voters in 5708:,284
5709,,
,DEMOCRATIC,122
,CONSTITUTIONAL,1
,INDEPENDENT,3
,NO AFFILIATION,5
,REPUBLICAN,53
,Count of Voters in 5709:,184
5710,,
,NON-PARTISAN,2
,DEMOCRATIC,195
,LIBERTARIAN,2
,INDEPENDENT,2
,REPUBLICAN,65
,NO AFFILIATION,11
,Count of Voters in 5710:,277
5711,,
,INDEPENDENT,1
,DEMOCRATIC,161
,LIBERTARIAN,2
,NO AFFILIATION,10
,REPUBLICAN,108
,Count of Voters in 5711:,282
5712,,
,NON-PARTISAN,1
,LIBERTARIAN,1
,DEMOCRATIC,146
,INDEPENDENT,2
,REPUBLICAN,95
,NO AFFILIATION,8
,NO PARTY,1
,Count of Voters in 5712:,254
5713,,
,DEMOCRATIC,163
,LIBERTARIAN,3
,NO AFFILIATION,9
,INDEPENDENT,2
,REPUBLICAN,184
,OTHER,1
,Count of Voters in 5713:,362
5714,,
,DEMOCRATIC,142
,REPUBLICAN,104
,NO AFFILIATION,13
,INDEPENDENT,1
,Count of Voters in 5714:,260
5715,,
,DEMOCRATIC,150
,LIBERTARIAN,1
,INDEPENDENT,1
,REPUBLICAN,61
,NO AFFILIATION,10
,Count of Voters in 5715:,223
5716,,
,DEMOCRATIC,112
,NO AFFILIATION,5
,REPUBLICAN,61
,INDEPENDENT,2
,Count of Voters in 5716:,180
5717,,
,DEMOCRATIC,181
5717,,
,NO AFFILIATION,6
,INDEPENDENT,1
,REPUBLICAN,90
,LIBERTARIAN,1
,Count of Voters in 5717:,279
5718,,
,NO AFFILIATION,7
,DEMOCRATIC,164
,LIBERTARIAN,1
,REPUBLICAN,95
,INDEPENDENT,6
,Count of Voters in 5718:,273
5719,,
,LIBERTARIAN,1
,DEMOCRATIC,143
,INDEPENDENT,1
,REPUBLICAN,58
,NO AFFILIATION,2
,Count of Voters in 5719:,205
5720,,
,REPUBLICAN,51
,DEMOCRATIC,138
,NO AFFILIATION,10
,Count of Voters in 5720:,199
5721,,
,DEMOCRATIC SOCIALIST,1
,DEMOCRATIC,120
,REPUBLICAN,62
,NO AFFILIATION,10
,Count of Voters in 5721:,193
5722,,
,DEMOCRATIC,142
,INDEPENDENT,3
,REPUBLICAN,81
,NO AFFILIATION,4
,LIBERTARIAN,1
,Count of Voters in 5722:,231
5723,,
,INDEPENDENT,1
,REPUBLICAN,60
,DEMOCRATIC,185
,NO AFFILIATION,6
,NONE,1
,UNKNOWN,1
,Count of Voters in 5723:,254
5724,,
,INDEPENDENT,1
,NO AFFILIATION,8
,LIBERTARIAN,1
,REPUBLICAN,58
,DEMOCRATIC,114
,INDEPENDENCE,1
,Count of Voters in 5724:,183
5725,,
,INDEPENDENT,2
,REPUBLICAN,64
,DEMOCRATIC,138
,LIBERTARIAN,1
,NO AFFILIATION,13
,Count of Voters in 5725:,218
5726,,
,DEMOCRATIC,161
,NO AFFILIATION,17
,NO PARTY,1
,LIBERTARIAN,1
,REPUBLICAN,32
,Count of Voters in 5726:,212
5727,,
,NO AFFILIATION,9
,INDEPENDENT CONSERVATIVE,1
,INDEPENDENT,2
,REPUBLICAN,15
,DEMOCRATIC,174
,INDEPENDENCE,1
,Count of Voters in 5727:,202
5728,,
,INDEPENDENT,1
,NO AFFILIATION,8
,GREEN,1
,DEMOCRATIC,148
,LIBERTARIAN,1
,REPUBLICAN,72
,Count of Voters in 5728:,231
5801,,
,INDEPENDENT,1
,NO AFFILIATION,16
,DEMOCRATIC,122
,REPUBLICAN,31
,Count of Voters in 5801:,170
5802,,
,NO PARTY,3
,DEMOCRATIC,89
,REPUBLICAN,15
,NO AFFILIATION,10
,Count of Voters in 5802:,117
5803,,
,GREEN,1
,NO AFFILIATION,31
,DEMOCRATIC,215
,INDEPENDENT,4
,REPUBLICAN,100
,OTHER,1
,Count of Voters in 5803:,352
5804,,
,NO PARTY,2
,REPUBLICAN,185
,INDEPENDENT,3
,INDEPENDENT DEMOCRAT,1
,NO AFFILIATION,10
,DEMOCRATIC,164
,Count of Voters in 5804:,365
5805,,
,INDEPENDENT,2
,GREEN,2
,UNKNOWN,1
,DEMOCRATIC,188
,REPUBLICAN,89
,NO AFFILIATION,27
,Count of Voters in 5805:,309
5806,,
,INDEPENDENT,2
,NO AFFILIATION,7
,REPUBLICAN,81
,DEMOCRATIC,145
,GREEN,1
,NON-PARTISAN,2
,Count of Voters in 5806:,238
5807,,
,INDEPENDENT,1
,REPUBLICAN,86
,LIBERTARIAN,1
,NO AFFILIATION,4
,DEMOCRATIC,122
,NO PARTY,2
,Count of Voters in 5807:,216
5808,,
,NO PARTY,1
,INDEPENDENT,5
,REPUBLICAN,71
,NO AFFILIATION,15
,NON-COMMITTAL,1
,NON-PARTISAN,1
,DEMOCRATIC,182
,Count of Voters in 5808:,276
5809,,
,REPUBLICAN,106
,NO AFFILIATION,12
,DEMOCRATIC,168
,NON-PARTISAN,1
,Count of Voters in 5809:,287
5810,,
,NO AFFILIATION,18
,REPUBLICAN,85
,UNKNOWN,1
,DEMOCRATIC,159
,INDEPENDENT,5
,Count of Voters in 5810:,268
5811,,
,NO AFFILIATION,15
,INDEPENDENT,1
,REPUBLICAN,83
,DEMOCRATIC,129
,INDEPENDENT,1
,DEMOCRAT LIBERTARIAN,1
,Count of Voters in 5811:,230
5812,,
,INDEPENDENT,3
,REPUBLICAN,67
,NO AFFILIATION,11
,DEMOCRATIC,142
,Count    Voters in 5812: of,223
5813,,
,SOCIALIST,1
,INDEPENDENT,1
,NO AFFILIATION,19
,DEMOCRATIC,138
,REPUBLICAN,94
,Count of Voters in 5813:,253
5814,,
,LIBERTARIAN,3
,NO AFFILIATION,7
,NO PARTY,1
,REPUBLICAN,58
,DEMOCRATIC,111
,INDEPENDENT,1
,Count of Voters in 5814:,181
5815,,
,DEMOCRATIC,94
,NO AFFILIATION,7
,INDEPENDENT,1
,NO PARTY,1
,REPUBLICAN,22
,LIBERTARIAN,1
,Count of Voters in 5815:,126
5816,,
,NO AFFILIATION,22
,INDEPENDENT,4
,REPUBLICAN,119
,DEMOCRATIC,156
,Count of Voters in 5816:,301
5817,,
,DEMOCRATIC,184
,LIBERTARIAN,2
,REPUBLICAN,89
,NO AFFILIATION,9
,NO PARTY,1
,Count of Voters in 5817:,285
5818,,
,LIBERTARIAN,1
,NO AFFILIATION,17
,NO PARTY,1
,REPUBLICAN,46
,DEMOCRATIC,134
,NON-PARTISAN,1
,UNKNOWN,1
,INDEPENDENT,2
,Count of Voters in 5818:,203
5819,,
,REPUBLICAN,109
,UNKNOWN,1
,NO AFFILIATION,12
,DEMOCRATIC,223
,INDEPENDENT,5
,OTHER,1
,Count of Voters in 5819:,351
5820,,
,INDEPENDENT,4
,GREEN,1
,DEMOCRATIC,154
,REPUBLICAN,61
,NO AFFILIATION,13
,Count of Voters in 5820:,233
5821,,
,REPUBLICAN,144
,NO AFFILIATION,17
,DEMOCRATIC,151
,INDEPENDENT,6
,Count of Voters in 5821:,318
5822,,
,DEMOCRATIC,116
,REFORM,1
,NON-PARTISAN,1
,NOT SURE,1
,INDEPENDENT,4
,REPUBLICAN,99
,NO AFFILIATION,10
,Count of Voters in 5822:,232
5823,,
,REPUBLICAN,108
,NO AFFILIATJON,20
,DEMOCRATIC,195
,INDEPENDENT,1
,Count of Voters in 5823:,324
5824,,
,INDEPENDENT,3
,AMERICAN,1
,DEMOCRATIC,214
,REPUBLICAN,126
,NO AFFILIATION,16
,NO PARTY,2
,Count of Voters in 5824:,362
5825,,
,DEMOCRATIC,153
,CONSERVATIVE,1
,INDEPENDENT,3
,REPUBLICAN,66
,NO AFFILIATION,15
,GREEN,1
,Count of Voters in 5825:,239
5826,,
,LIBERTARIAN,1
,NO AFFILIATION,7
,INDEPENDENT,1
,NO PARTY,1
,REPUBLICAN,71
,DEMOCRATIC,192
,Count of Voters in 5826:,273
5827,,
,INDEPENDENT,2
,DEMOCRATIC,147
,LIBERTARIAN,1
,NO PARTY,1
,REPUBLICAN,62
,NO AFFILIATION,30
,Count of Voters in 5827:,243
5828,,
,DEMOCRATIC,141
,REPUBLICAN,79
,NO AFFILIATION,10
,INDEPENDENT,1
,Count of Voters in 5828:,231
5829,,
,DEMOCRATIC,229
,LIBERTARIAN,1
,REPUBLICAN,142
,NO AFFILIATION,14
,NO PARTY,1
,INDEPENDENT,3
,Count of Voters in 5829:,390
5830,,
,INDEPENDENT,4
,NO PARTY,1
,OTHER,1
,NO AFFILIATION,12
,DEMOCRATIC,139
,REPUBLICAN,58
,Count of Voters in 5830:,215
5831,,
,NO AFFILIATION,18
,REPUBLICAN,84
,DEMOCRATIC,196
,NON-PARTISAN,1
,INDEPENDENT,4
,Count of Voters in 5831:,303
5832,,
,REPUBLICAN,31
,NO AFFILIATION,13
,DEMOCRATIC,85
